GM_COUNTY_NAME,GM_DATASET_NAME,GM_WELL_CATEGORY,GM_DATA_SOURCE,GM_WELL_ID,GM_CHEMICAL_VVL,GM_CHEMICAL_NAME,GM_RESULT_MODIFIER,GM_RESULT,GM_CHEMICAL_UNITS,GM_REPORTING_LIMIT,GM_SAMP_COLLECTION_DATE,GM_LATITUDE,GM_LONGITUDE,GM_WELL_DEPTH_FT,GM_TOP_DEPTH_OF_SCREEN_FT,GM_BOTTOM_DEPTH_OF_SCREEN_FT,GM_CAS_NUMBER,GM_ALTWELL_ID1,GM_ALTWELL_ID2,GM_ALTWELL_ID3,SRC_CHEMICAL,SRC_RESULT_MODIFIER,SRC_RESULT,SRC_CHEMICAL_UNITS,SRC_REPORTING_LIMIT,SRC_SAMP_COLLECTION_DATE,SRC_SAMP_COLLECTION_TIME,SRC_ANALYSIS_DATE,SRC_ANALYTICAL_METHOD,SRC_LAB_NOTE,SRC_LATITUDE,SRC_LONGITUDE,SRC_DATUM,SRC_WELL_DEPTH_FT,SRC_TOP_DEPTH_OF_SCREEN_FT,SRC_BOTTOM_DEPTH_OF_SCREEN_FT,SRC_WELL_CATEGORY,source_file
LOS ANGELES,DDW,Municipal,DDW,CA1910009_002_002,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,02/22/2012,34.105567,-117.960928,NA,250,534,NA,1910009-002,NA,NA,2314,Y,NA,UG/L     ,0,02/22/2012,08:41:00,02/23/2012,NA,WECK LABORATORIES,34.105567,-117.960928,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910009_002_002,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,04/16/2013,34.105567,-117.960928,NA,250,534,NA,1910009-002,NA,NA,2314,Y,NA,UG/L     ,0,04/16/2013,08:37:00,04/18/2013,NA,WECK LABORATORIES,34.105567,-117.960928,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910009_005_005,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,10/27/2014,34.106225,-117.964011,NA,300,584,NA,1910009-005,NA,NA,2314,Y,NA,UG/L     ,0,10/27/2014,13:37:00,10/30/2014,NA,WECK LABORATORIES,34.106225,-117.964011,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910043_030_030,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,11/07/2011,34.136495,-118.27188,NA,NA,NA,NA,1910043-030,NA,NA,2314,Y,NA,UG/L     ,0,11/07/2011,10:00:00,11/15/2011,NA,EUROFINS EATON ANALYTICAL POMONA,34.136495,-118.27188,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910043_030_030,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,04/10/2014,34.136495,-118.27188,NA,NA,NA,NA,1910043-030,NA,NA,2314,Y,NA,UG/L     ,0,04/10/2014,09:20:00,04/25/2014,NA,EUROFINS EATON ANALYTICAL POMONA,34.136495,-118.27188,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910199_006_006,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,09/03/2013,34.065743,-118.006284,NA,460,582,NA,1910199-006,NA,NA,2314,Y,NA,UG/L     ,0,09/03/2013,09:39:00,09/05/2013,NA,EUROFINS EATON ANALYTICAL POMONA,34.065743,-118.006284,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910060_023_023,NNSM,N-Nitrosodimethylamine (NDMA),=,0.037,UG/L,0,03/05/2012,34.066307,-117.967487,NA,NA,NA,NA,1910060-023,NA,NA,2314,N,0.037,UG/L     ,0,03/05/2012,10:35:00,03/06/2012,NA,WECK LABORATORIES,34.066307,-117.967487,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910063_003_003,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,02/06/2012,34.193336,-118.160208,NA,390,465,NA,1910063-003,NA,NA,2314,Y,NA,UG/L     ,0,02/06/2012,09:35:00,02/07/2012,NA,WECK LABORATORIES,34.193336,-118.160208,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910067_062_062,NNSM,N-Nitrosodimethylamine (NDMA),<,0,UG/L,0,05/30/2013,34.196632,-118.38659,NA,190,300,NA,1910067-062,NA,NA,2314,Y,NA,UG/L     ,0,05/30/2013,11:40:00,06/15/2013,NA,WECK LABORATORIES,34.196632,-118.38659,NA,NA,NA,NA,NA,p9.txt
LOS ANGELES,DDW,Municipal,DDW,CA1910199_005_005,NNSM,N-Nitrosodimethylamine (NDMA),=,0.013,UG/L,0,03/03/2014,34.061839,-118.006522,NA,197,319,NA,1910199-005,NA,NA,2314,N,0.013,UG/L     ,0,03/03/2014,10:06:00,03/04/2014,NA,EUROFINS EATON ANALYTICAL POMONA,34.061839,-118.006522,NA,NA,NA,NA,NA,p9.txt
